"filename", "language", "JSON", "HTML", "Markdown", "CSS", "JavaScript React", "JavaScript", "comment", "blank", "total"
"/home/xico/Desktop/TrybeMarket/trybe-market/src/components/EmptyCart/EmptyCart.jsx", "JavaScript React", 0, 0, 0, 0, 17, 0, 0, 3, 20
"/home/xico/Desktop/TrybeMarket/trybe-market/src/components/Filters/Filters.css", "CSS", 0, 0, 0, 45, 0, 0, 0, 5, 50
"/home/xico/Desktop/TrybeMarket/trybe-market/src/components/Filters/Filters.jsx", "JavaScript React", 0, 0, 0, 0, 102, 0, 0, 9, 111
"/home/xico/Desktop/TrybeMarket/trybe-market/src/components/Footer/Footer.css", "CSS", 0, 0, 0, 62, 0, 0, 0, 10, 72
"/home/xico/Desktop/TrybeMarket/trybe-market/src/components/Footer/Footer.jsx", "JavaScript React", 0, 0, 0, 0, 42, 0, 0, 3, 45
"/home/xico/Desktop/TrybeMarket/trybe-market/src/components/Header/Header.css", "CSS", 0, 0, 0, 144, 0, 0, 0, 18, 162
"/home/xico/Desktop/TrybeMarket/trybe-market/src/components/Header/Header.jsx", "JavaScript React", 0, 0, 0, 0, 121, 0, 0, 9, 130
"/home/xico/Desktop/TrybeMarket/trybe-market/src/components/Loading/Loading.css", "CSS", 0, 0, 0, 16, 0, 0, 0, 2, 18
"/home/xico/Desktop/TrybeMarket/trybe-market/src/components/Loading/Loading.jsx", "JavaScript React", 0, 0, 0, 0, 76, 0, 0, 4, 80
"/home/xico/Desktop/TrybeMarket/trybe-market/src/components/NoReviews/NoReviews.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/xico/Desktop/TrybeMarket/trybe-market/src/components/NoReviews/NoReviews.jsx", "JavaScript React", 0, 0, 0, 0, 12, 0, 0, 3, 15
"/home/xico/Desktop/TrybeMarket/trybe-market/src/components/PaymentCard/PaymentCard.css", "CSS", 0, 0, 0, 226, 0, 0, 0, 19, 245
"/home/xico/Desktop/TrybeMarket/trybe-market/src/components/PaymentCard/PaymentCard.jsx", "JavaScript React", 0, 0, 0, 0, 175, 0, 0, 11, 186
"/home/xico/Desktop/TrybeMarket/trybe-market/src/components/ProductDetailsCard/ProductDetailsCard.css", "CSS", 0, 0, 0, 157, 0, 0, 0, 17, 174
"/home/xico/Desktop/TrybeMarket/trybe-market/src/components/ProductDetailsCard/ProductDetailsCard.jsx", "JavaScript React", 0, 0, 0, 0, 190, 0, 0, 14, 204
"/home/xico/Desktop/TrybeMarket/trybe-market/src/components/Store.js", "JavaScript", 0, 0, 0, 0, 0, 23, 7, 4, 34
"/home/xico/Desktop/TrybeMarket/trybe-market/src/firebase-config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 13, 2, 15
"/home/xico/Desktop/TrybeMarket/trybe-market/src/index.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 2, 14
"/home/xico/Desktop/TrybeMarket/trybe-market/src/index.js", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 3, 19
"/home/xico/Desktop/TrybeMarket/trybe-market/src/setupTests.js", "JavaScript", 0, 0, 0, 0, 0, 1, 4, 1, 6
"Total", "-", 32360, 24, 38, 1469, 1487, 167, 60, 379, 35984
